group_name,page_name,member_name,birth_name,birth_date,agency_name,agency_href,update_at
Red Velvet,Irene_(Red_Velvet),Irene,Bae Joo-hyun (배주현),1991-03-29,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
Red Velvet,Seulgi_(Red_Velvet),Seulgi,Kang Seul-gi (강슬기),1994-02-10,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
Red Velvet,Wendy,Wendy,Shon Seung-wan (손승완),1994-02-21,ASND,https://kpop.fandom.com/wiki/ASND,2025-09-23 15:37:49
Red Velvet,Joy_(Red_Velvet),Joy,Park Soo-young (박수영),1996-09-03,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
Red Velvet,Yeri_(Red_Velvet),Yeri,Kim Ye-rim (김예림),1999-03-05,Blitzway Entertainment,,2025-09-23 15:37:49
BLACKPINK,Jisoo_(BLACKPINK),Jisoo,Kim Ji-soo (김지수),1995-01-03,BLISSOO,https://kpop.fandom.com/wiki/BLISSOO,2025-09-23 15:37:49
BLACKPINK,Jennie,Jennie,Kim Jennie (김제니),1996-01-16,ODD ATELIER,https://kpop.fandom.com/wiki/ODD_ATELIER,2025-09-23 15:37:49
BLACKPINK,Ros%C3%A9,Rosé,Roseanne Park(English)Park Chae-young (박채영)(Korean),1997-02-11,The Black Label,https://kpop.fandom.com/wiki/The_Black_Label,2025-09-23 15:37:49
BLACKPINK,Lisa_(BLACKPINK),Lisa,Pranpriya Manobal (ปราณปริยา มโนบาล),1997-03-27,LLOUD,https://kpop.fandom.com/wiki/LLOUD,2025-09-23 15:37:49
Aespa,Karina_(aespa),Karina,Yu Ji-min (유지민),2000-04-11,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
Aespa,Giselle,Giselle,Uchinaga Aeri (内永 枝利)Kim Ae-ri (김애리)(Korean),2000-10-30,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
Aespa,Winter_(aespa),Winter,Kim Min-jeong (김민정),2001-01-01,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
Aespa,Ningning,Ningning,Níng Yìzhuō (宁艺卓),2002-10-23,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,2025-09-23 15:37:49
CrazAngel,Solmi_(CrazAngel),Solmi,Bae Sol-mi (배솔미),2002-05-18,Forbest Entertainment,,2025-09-23 15:37:49
CrazAngel,Daze,Daze,Jeong Seo-hyeon (정서현),2003-05-09,Forbest Entertainment,,2025-09-23 15:37:49
CrazAngel,Shannie,Shannie,Chun En Shannon Hoo,2003-12-16,Forbest Entertainment,,2025-09-23 15:37:49
CrazAngel,Ahon,Ahon,Lee Ga-eun (이가은),2005-09-04,Forbest Entertainment,,2025-09-23 15:37:49
TWICE,Nayeon_(TWICE),Nayeon,Im Na-yeon (임나연),1995-09-22,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Jeongyeon_(TWICE),Jeongyeon,Yoo Kyung-wan (유경완),1996-11-01,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Momo,Momo,Hirai Momo (平井 もも),1996-11-09,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Sana,Sana,Minatozaki Sana (湊﨑 紗夏),1996-12-29,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Jihyo_(TWICE),Jihyo,Park Ji-soo (박지수),1997-02-01,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Mina_(TWICE),Mina,Myōi Mina (名井 南)(Japanese)Mina Sharon Myoi(English),1997-03-24,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Dahyun_(TWICE),Dahyun,Kim Da-hyun (김다현),1998-05-28,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Chaeyoung_(TWICE),Chaeyoung,Son Chae-young (손채영),1999-04-23,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
TWICE,Tzuyu,Tzuyu,Chou Tzu-yü (周子瑜),1999-06-14,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,2025-09-23 15:37:49
