COUNTRY_NM,COUNTRY_RANK_NM,ALL_TOTAL_CO,MALE_RATE,FEMALE_RATE,ALL_N10S_RATE,ALL_N20S_RATE,ALL_N30S_RATE,ALL_N40S_RATE,ALL_N50S_RATE,EXAMIN_COUNTRY_NM,REPRT_YEAR_CN,CNTNTS_URL
"한국","1순위","41","39.10000","43.00000","37.30000","41.30000","43.20000","37.80000","63.20000","중국","2020","드라마"
"미국","2순위","38","40.80000","35.70000","38.20000","40.50000","36.00000","40.80000","26.30000","중국","2020","드라마"
"일본","3순위","15","15.50000","14.00000","20.00000","14.00000","16.80000","10.20000","0.00000","중국","2020","드라마"
"한국","1순위","47","42.90000","51.40000","44.70000","54.10000","48.60000","34.90000","68.80000","중국","2020","예능"
"미국","2순위","27","29.60000","25.00000","30.90000","22.00000","27.50000","31.30000","18.80000","중국","2020","예능"
"일본","3순위","19","21.20000","16.30000","20.20000","17.40000","17.40000","24.10000","0.00000","중국","2020","예능"
"미국","1순위","60","62.10000","57.30000","66.70000","62.00000","58.20000","57.50000","25.00000","중국","2020","영화"
"한국","2순위","25","25.80000","24.80000","18.90000","25.00000","26.40000","25.00000","56.30000","중국","2020","영화"
"일본","3순위","11","10.10000","12.60000","12.20000","9.30000","11.80000","13.80000","6.30000","중국","2020","영화"
"미국","1순위","73","77.50000","68.60000","59.50000","73.60000","81.60000","76.90000","75.00000","일본","2020","드라마"
"한국","2순위","21","14.40000","26.70000","27.80000","23.00000","13.80000","17.90000","20.00000","일본","2020","드라마"
"영국","3순위","4","3.80000","3.50000","6.30000","1.10000","2.30000","5.10000","5.00000","일본","2020","드라마"
"미국","1순위","71","75.80000","66.30000","67.30000","62.00000","81.30000","70.80000","77.80000","일본","2020","예능"
"한국","2순위","20","15.40000","24.80000","21.20000","26.00000","12.50000","29.20000","11.10000","일본","2020","예능"
"영국","3순위","5","3.30000","6.90000","3.80000","8.00000","4.20000","0.00000","11.10000","일본","2020","예능"
"미국","1순위","86","83.60000","87.50000","74.10000","86.70000","88.00000","84.80000","97.10000","일본","2020","영화"
"한국","2순위","7","7.90000","5.90000","12.10000","8.00000","4.00000","6.10000","2.90000","일본","2020","영화"
"영국","3순위","5","4.30000","5.90000","6.90000","2.70000","6.70000","9.10000","0.00000","일본","2020","영화"
"한국","1순위","36","26.30000","45.90000","40.50000","35.80000","39.70000","29.60000","27.50000","대만","2020","드라마"
"미국","2순위","24","29.20000","19.40000","23.30000","32.50000","19.80000","22.20000","20.00000","대만","2020","드라마"
