"kf_id","kf_genre","kf_start_of_week","kf_keyword","kf_sentiment","kf_frequency","kf_post_continent","kf_genre_code","kf_post_continent_code"
"641439","variety","2025-08-18","ateez","-1","0","East Asia","3","1"
"641440","variety","2025-08-18","ateez","-1","0","Europe","3","5"
"641441","variety","2025-08-18","ateez","-1","0","Middle East","3","6"
"641442","variety","2025-08-18","ateez","-1","0","North America","3","3"
"641443","variety","2025-08-18","ateez","-1","0","South America","3","4"
"641444","variety","2025-08-18","ateez","-1","0","Southeast Asia","3","2"
"641445","variety","2025-08-18","ateez","0","0","East Asia","3","1"
"641446","variety","2025-08-18","ateez","0","0","Europe","3","5"
"641447","variety","2025-08-18","ateez","0","0","Middle East","3","6"
"641448","variety","2025-08-18","ateez","0","0","North America","3","3"
"641449","variety","2025-08-18","ateez","0","0","South America","3","4"
"641450","variety","2025-08-18","ateez","0","0","Southeast Asia","3","2"
"641451","variety","2025-08-18","ateez","1","0","East Asia","3","1"
"641452","variety","2025-08-18","ateez","1","0","Europe","3","5"
"641453","variety","2025-08-18","ateez","1","0","Middle East","3","6"
"641454","variety","2025-08-18","ateez","1","0","South America","3","4"
"641455","variety","2025-08-18","ateez","1","0","Southeast Asia","3","2"
"641456","variety","2025-08-18","babymonster","-1","0","East Asia","3","1"
"641457","variety","2025-08-18","babymonster","-1","0","Europe","3","5"
"641458","variety","2025-08-18","babymonster","-1","0","Middle East","3","6"
"641459","variety","2025-08-18","babymonster","-1","0","North America","3","3"
"641460","variety","2025-08-18","babymonster","-1","0","South America","3","4"
"641461","variety","2025-08-18","babymonster","-1","0","Southeast Asia","3","2"
"641462","variety","2025-08-18","babymonster","0","0","East Asia","3","1"
"641463","variety","2025-08-18","babymonster","0","0","Europe","3","5"
"641464","variety","2025-08-18","babymonster","0","0","Middle East","3","6"
"641465","variety","2025-08-18","babymonster","0","0","North America","3","3"
"641466","variety","2025-08-18","babymonster","0","0","South America","3","4"
"641467","variety","2025-08-18","babymonster","0","0","Southeast Asia","3","2"
"641468","variety","2025-08-18","babymonster","1","0","East Asia","3","1"
"641469","variety","2025-08-18","babymonster","1","0","Europe","3","5"
"641470","variety","2025-08-18","babymonster","1","0","Middle East","3","6"
"641471","variety","2025-08-18","babymonster","1","0","South America","3","4"
"641472","variety","2025-08-18","babymonster","1","0","Southeast Asia","3","2"
"641473","variety","2025-08-18","big bang","-1","0","East Asia","3","1"
"641474","variety","2025-08-18","big bang","-1","0","Europe","3","5"
"641475","variety","2025-08-18","big bang","-1","0","Middle East","3","6"
"641476","variety","2025-08-18","big bang","-1","0","North America","3","3"
"641477","variety","2025-08-18","big bang","-1","0","South America","3","4"
"641478","variety","2025-08-18","big bang","-1","0","Southeast Asia","3","2"
"641479","variety","2025-08-18","big bang","0","0","East Asia","3","1"
"641480","variety","2025-08-18","big bang","0","0","Europe","3","5"
"641481","variety","2025-08-18","big bang","0","0","Middle East","3","6"
"641482","variety","2025-08-18","big bang","0","0","North America","3","3"
"641483","variety","2025-08-18","big bang","0","0","South America","3","4"
"641484","variety","2025-08-18","big bang","0","0","Southeast Asia","3","2"
"641485","variety","2025-08-18","big bang","1","0","East Asia","3","1"
"641486","variety","2025-08-18","big bang","1","0","Europe","3","5"
"641487","variety","2025-08-18","big bang","1","0","Middle East","3","6"
"641488","variety","2025-08-18","big bang","1","0","South America","3","4"
"641489","variety","2025-08-18","big bang","1","0","Southeast Asia","3","2"
"641490","variety","2025-08-18","bts","-1","0","East Asia","3","1"
"641491","variety","2025-08-18","bts","-1","0","Europe","3","5"
"641492","variety","2025-08-18","bts","-1","0","Middle East","3","6"
"641493","variety","2025-08-18","bts","-1","0","South America","3","4"
"641494","variety","2025-08-18","bts","-1","0","Southeast Asia","3","2"
"641495","variety","2025-08-18","bts","0","0","East Asia","3","1"
"641496","variety","2025-08-18","bts","0","0","Europe","3","5"
"641497","variety","2025-08-18","bts","0","0","Middle East","3","6"
"641498","variety","2025-08-18","bts","0","0","South America","3","4"
"641499","variety","2025-08-18","bts","0","0","Southeast Asia","3","2"
"641500","variety","2025-08-18","bts","1","0","East Asia","3","1"
"641501","variety","2025-08-18","bts","1","0","Europe","3","5"
"641502","variety","2025-08-18","bts","1","0","Middle East","3","6"
"641503","variety","2025-08-18","bts","1","0","South America","3","4"
"641504","variety","2025-08-18","bts","1","0","Southeast Asia","3","2"
"641505","variety","2025-08-18","bts jin","-1","0","East Asia","3","1"
"641506","variety","2025-08-18","bts jin","-1","0","Europe","3","5"
"641507","variety","2025-08-18","bts jin","-1","0","Middle East","3","6"
"641508","variety","2025-08-18","bts jin","-1","0","North America","3","3"
"641509","variety","2025-08-18","bts jin","-1","0","South America","3","4"
"641510","variety","2025-08-18","bts jin","-1","0","Southeast Asia","3","2"
"641511","variety","2025-08-18","bts jin","0","0","East Asia","3","1"
"641512","variety","2025-08-18","bts jin","0","0","Europe","3","5"
"641513","variety","2025-08-18","bts jin","0","0","Middle East","3","6"
"641514","variety","2025-08-18","bts jin","0","0","South America","3","4"
"641515","variety","2025-08-18","bts jin","0","0","Southeast Asia","3","2"
"641516","variety","2025-08-18","bts jin","1","0","East Asia","3","1"
"641517","variety","2025-08-18","bts jin","1","0","Europe","3","5"
"641518","variety","2025-08-18","bts jin","1","0","Middle East","3","6"
"641519","variety","2025-08-18","bts jin","1","0","South America","3","4"
"641520","variety","2025-08-18","bts jin","1","0","Southeast Asia","3","2"
"641521","variety","2025-08-18","bts v","-1","0","East Asia","3","1"
"641522","variety","2025-08-18","bts v","-1","0","Europe","3","5"
"641523","variety","2025-08-18","bts v","-1","0","Middle East","3","6"
"641524","variety","2025-08-18","bts v","-1","0","South America","3","4"
"641525","variety","2025-08-18","bts v","-1","0","Southeast Asia","3","2"
"641526","variety","2025-08-18","bts v","0","0","East Asia","3","1"
"641527","variety","2025-08-18","bts v","0","0","Europe","3","5"
"641528","variety","2025-08-18","bts v","0","0","Middle East","3","6"
"641529","variety","2025-08-18","bts v","0","0","South America","3","4"
"641530","variety","2025-08-18","bts v","0","0","Southeast Asia","3","2"
"641531","variety","2025-08-18","bts v","1","0","East Asia","3","1"
"641532","variety","2025-08-18","bts v","1","0","Europe","3","5"
"641533","variety","2025-08-18","bts v","1","0","Middle East","3","6"
"641534","variety","2025-08-18","bts v","1","0","South America","3","4"
"641535","variety","2025-08-18","bts v","1","0","Southeast Asia","3","2"
"641536","variety","2025-08-18","enhypen","-1","0","East Asia","3","1"
"641537","variety","2025-08-18","enhypen","-1","0","Europe","3","5"
"641538","variety","2025-08-18","enhypen","-1","0","Middle East","3","6"
"641539","variety","2025-08-18","enhypen","-1","0","North America","3","3"
"641540","variety","2025-08-18","enhypen","-1","0","South America","3","4"
"641541","variety","2025-08-18","enhypen","-1","0","Southeast Asia","3","2"
"641542","variety","2025-08-18","enhypen","0","0","East Asia","3","1"
"641543","variety","2025-08-18","enhypen","0","0","Europe","3","5"
"641544","variety","2025-08-18","enhypen","0","0","Middle East","3","6"
"641545","variety","2025-08-18","enhypen","0","0","South America","3","4"
"641546","variety","2025-08-18","enhypen","0","0","Southeast Asia","3","2"
"641547","variety","2025-08-18","enhypen","1","0","East Asia","3","1"
"641548","variety","2025-08-18","enhypen","1","0","Europe","3","5"
"641549","variety","2025-08-18","enhypen","1","0","Middle East","3","6"
"641550","variety","2025-08-18","enhypen","1","0","North America","3","3"
"641551","variety","2025-08-18","enhypen","1","0","South America","3","4"
"641552","variety","2025-08-18","enhypen","1","0","Southeast Asia","3","2"
"641553","variety","2025-08-18","haru","-1","0","East Asia","3","1"
"641554","variety","2025-08-18","haru","-1","0","Europe","3","5"
"641555","variety","2025-08-18","haru","-1","0","Middle East","3","6"
"641556","variety","2025-08-18","haru","-1","0","North America","3","3"
"641557","variety","2025-08-18","haru","-1","0","South America","3","4"
"641558","variety","2025-08-18","haru","-1","0","Southeast Asia","3","2"
"641559","variety","2025-08-18","haru","0","0","East Asia","3","1"
"641560","variety","2025-08-18","haru","0","0","Europe","3","5"
"641561","variety","2025-08-18","haru","0","0","Middle East","3","6"
"641562","variety","2025-08-18","haru","0","0","North America","3","3"
"641563","variety","2025-08-18","haru","0","0","South America","3","4"
"641564","variety","2025-08-18","haru","0","0","Southeast Asia","3","2"
"641565","variety","2025-08-18","haru","1","0","East Asia","3","1"
"641566","variety","2025-08-18","haru","1","0","Europe","3","5"
"641567","variety","2025-08-18","haru","1","0","Middle East","3","6"
"641568","variety","2025-08-18","haru","1","0","South America","3","4"
"641569","variety","2025-08-18","haru","1","0","Southeast Asia","3","2"
"641570","variety","2025-08-18","hyunjin","-1","0","East Asia","3","1"
"641571","variety","2025-08-18","hyunjin","-1","0","Europe","3","5"
"641572","variety","2025-08-18","hyunjin","-1","0","Middle East","3","6"
"641573","variety","2025-08-18","hyunjin","-1","0","North America","3","3"
"641574","variety","2025-08-18","hyunjin","-1","0","South America","3","4"
"641575","variety","2025-08-18","hyunjin","-1","0","Southeast Asia","3","2"
"641576","variety","2025-08-18","hyunjin","0","0","East Asia","3","1"
"641577","variety","2025-08-18","hyunjin","0","0","Europe","3","5"
"641578","variety","2025-08-18","hyunjin","0","0","Middle East","3","6"
"641579","variety","2025-08-18","hyunjin","0","0","South America","3","4"
"641580","variety","2025-08-18","hyunjin","0","0","Southeast Asia","3","2"
"641581","variety","2025-08-18","hyunjin","1","0","East Asia","3","1"
"641582","variety","2025-08-18","hyunjin","1","0","Europe","3","5"
"641583","variety","2025-08-18","hyunjin","1","0","Middle East","3","6"
"641584","variety","2025-08-18","hyunjin","1","0","North America","3","3"
"641585","variety","2025-08-18","hyunjin","1","0","South America","3","4"
"641586","variety","2025-08-18","hyunjin","1","0","Southeast Asia","3","2"
"641587","variety","2025-08-18","jisoo","-1","0","East Asia","3","1"
"641588","variety","2025-08-18","jisoo","-1","0","Europe","3","5"
"641589","variety","2025-08-18","jisoo","-1","0","Middle East","3","6"
"641590","variety","2025-08-18","jisoo","-1","0","South America","3","4"
"641591","variety","2025-08-18","jisoo","-1","0","Southeast Asia","3","2"
"641592","variety","2025-08-18","jisoo","0","0","East Asia","3","1"
"641593","variety","2025-08-18","jisoo","0","0","Europe","3","5"
"641594","variety","2025-08-18","jisoo","0","0","Middle East","3","6"
